definition1,sensekey1,relation,sensekey2,definition2
choose not to consume,abstain%2:34:00::,property,abstinence%1:07:00::,the trait of abstaining (especially from alcohol)
consider a concept without thinking of a specific example; consider abstractly or theoretically,abstract%2:31:00::,undergoer,abstract%1:09:00::,a concept or idea not associated with any specific instance
consider a concept without thinking of a specific example; consider abstractly or theoretically,abstract%2:31:00::,undergoer,abstraction%1:03:00::,a general concept formed by extracting common features from specific examples
consider a concept without thinking of a specific example; consider abstractly or theoretically,abstract%2:31:00::,undergoer,abstraction%1:09:00::,a concept or idea not associated with any specific instance
consider a concept without thinking of a specific example; consider abstractly or theoretically,abstract%2:31:00::,event,abstraction%1:09:02::,the process of formulating general concepts by abstracting common properties of instances
consider apart from a particular case or instance,abstract%2:31:01::,undergoer,abstract%1:09:00::,a concept or idea not associated with any specific instance
give an abstract (of),abstract%2:32:00::,undergoer,abstract%1:10:00::,a sketchy summary of the main points of an argument or theory
give an abstract (of),abstract%2:32:00::,agent,abstracter%1:18:00::,one who makes abstracts or summarizes information
give an abstract (of),abstract%2:32:00::,agent,abstractor%1:18:00::,one who makes abstracts or summarizes information
change the inherent purpose or function of something,abuse%2:30:00::,by means of,abuse%1:04:01::,improper or excessive use
use foul or abusive language towards,abuse%2:32:00::,by means of,abuse%1:10:00::,a rude expression intended to offend or hurt
use foul or abusive language towards,abuse%2:32:00::,agent,abuser%1:18:00::,someone who abuses
treat badly,abuse%2:41:00::,event,abuse%1:04:02::,cruel or inhumane treatment
treat badly,abuse%2:41:00::,agent,abuser%1:18:00::,someone who abuses
lie adjacent to another or share a boundary,abut%2:35:00::,location,abutment%1:15:00::,point of contact between two objects or parts
lie adjacent to another or share a boundary,abut%2:35:00::,agent,abutter%1:18:00::,the owner of contiguous property
to agree or express agreement,accede%2:32:01::,event,accession%1:10:02::,agreeing with or consenting to (often unwillingly)
take on duties or office,accede%2:41:00::,event,accession%1:04:03::,the act of attaining or gaining access to a new office or right or position (especially the throne)
cause to move faster,accelerate%2:30:01::,event,acceleration%1:04:00::,the act of accelerating; increasing the speed
cause to move faster,accelerate%2:30:01::,event,acceleration%1:07:00::,an increase in rate of change
cause to move faster,accelerate%2:30:01::,instrument,accelerator%1:06:00::,a valve that regulates the supply of fuel to the engine
cause to move faster,accelerate%2:30:01::,instrument,accelerator%1:06:02::,a pedal that controls the throttle valve
put stress on; utter with an accent,accent%2:32:00::,result,accent%1:10:00::,the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
"to stress, single out as important",accent%2:32:01::,result,accent%1:26:00::,special importance or significance
"to stress, single out as important",accentuate%2:32:00::,event,accentuation%1:04:00::,the act of giving special importance or significance to something
put stress on; utter with an accent,accentuate%2:32:01::,event,accentuation%1:10:00::,the use or application of an accent; the relative prominence of syllables in a phrase or utterance
consider or hold as true,accept%2:31:00::,result,acceptance%1:09:00::,the mental attitude that something is believable and should be accepted as true
consider or hold as true,accept%2:31:00::,event,acceptation%1:10:00::,the accepted meaning of a word
consider or hold as true,accept%2:31:00::,event,acceptation%1:26:00::,acceptance as true or valid
react favorably to; consider right and proper,accept%2:31:01::,event,acceptance%1:04:00::,the act of accepting with approval; favorable reception
react favorably to; consider right and proper,accept%2:31:01::,result,acceptance%1:26:00::,the state of being acceptable and accepted
react favorably to; consider right and proper,accept%2:31:01::,event,acceptation%1:04:00::,the act of accepting with approval; favorable reception
react favorably to; consider right and proper,accept%2:31:01::,event,acceptation%1:26:00::,acceptance as true or valid
tolerate or accommodate oneself to,accept%2:31:03::,property,acceptance%1:07:00::,a disposition to tolerate or accept people or situations
give an affirmative reply to; respond favorably to,accept%2:32:00::,event,acceptation%1:04:00::,the act of accepting with approval; favorable reception
give an affirmative reply to; respond favorably to,accept%2:32:00::,event,acceptation%1:26:00::,acceptance as true or valid
receive willingly something given or offered,accept%2:40:00::,event,acceptance%1:04:03::,the act of taking something that is offered
receive willingly something given or offered,accept%2:40:00::,event,acceptation%1:04:00::,the act of accepting with approval; favorable reception
"receive (a report) officially, as from a committee",accept%2:40:07::,event,acceptation%1:26:00::,acceptance as true or valid
reach or gain access to,access%2:38:00::,event,access%1:04:00::,the act of approaching or entering
reach or gain access to,access%2:38:00::,event,accession%1:04:03::,the act of attaining or gaining access to a new office or right or position (especially the throne)
obtain or retrieve from a storage device; as of information on a computer,access%2:40:00::,event,access%1:06:01::,(computer science) the operation of reading or writing stored information
praise vociferously,acclaim%2:32:00::,event,acclaim%1:10:00::,enthusiastic approval
praise vociferously,acclaim%2:32:00::,event,acclamation%1:10:00::,enthusiastic approval
clap one's hands or shout after performances to indicate approval,acclaim%2:32:01::,event,acclaim%1:10:00::,enthusiastic approval
get used to a certain climate,acclimate%2:30:00::,event,acclimation%1:22:00::,adaptation to a new climate (a new temperature or altitude or environment)
get used to a certain climate,acclimatise%2:30:00::,event,acclimatisation%1:22:00::,adaptation to a new climate (a new temperature or altitude or environment)
get used to a certain climate,acclimatize%2:30:00::,event,acclimatization%1:22:00::,adaptation to a new climate (a new temperature or altitude or environment)
"make fit for, or change to suit a new purpose",accommodate%2:30:00::,event,accommodation%1:09:00::,in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
"make fit for, or change to suit a new purpose",accommodate%2:30:00::,event,accommodation%1:11:00::,making or becoming suitable; adjusting to circumstances
make (one thing) compatible with (another),accommodate%2:30:01::,event,accommodation%1:09:00::,in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
make (one thing) compatible with (another),accommodate%2:30:01::,event,accommodation%1:10:02::,a settlement of differences
make (one thing) compatible with (another),accommodate%2:30:01::,event,accommodation%1:11:00::,making or becoming suitable; adjusting to circumstances
provide a service or favor for someone,accommodate%2:32:00::,event,accommodation%1:04:00::,the act of providing something (lodging or seat or food) to meet a need
provide a service or favor for someone,accommodate%2:32:00::,agent,accommodator%1:18:00::,someone who performs a service or does a favor
provide with something desired or needed,accommodate%2:34:00::,event,accommodation%1:04:00::,the act of providing something (lodging or seat or food) to meet a need
be agreeable or acceptable to,accommodate%2:42:00::,event,accommodation%1:11:00::,making or becoming suitable; adjusting to circumstances
provide housing for,accommodate%2:42:01::,event,accommodation%1:04:00::,the act of providing something (lodging or seat or food) to meet a need
provide housing for,accommodate%2:42:01::,uses,accommodation%1:06:00::,living quarters provided for public convenience
perform an accompaniment to,accompany%2:36:00::,result,accompaniment%1:10:00::,a musical part (vocal or instrumental) that supports or provides background for other musical parts
go or travel along with,accompany%2:38:00::,event,accompaniment%1:04:00::,the act of accompanying someone or something in order to protect them
be present or associated with an event or entity,accompany%2:42:00::,event,accompaniment%1:11:00::,an event or situation that happens at the same time as or in connection with another
be a companion to somebody,accompany%2:42:01::,event,accompaniment%1:04:00::,the act of accompanying someone or something in order to protect them
put in effect,accomplish%2:36:00::,event,accomplishment%1:04:00::,the action of accomplishing something
to gain with effort,accomplish%2:41:00::,event,accomplishment%1:04:00::,the action of accomplishing something
allow to have,accord%2:40:00::,event,accordance%1:04:00::,the act of granting rights
go together,accord%2:42:00::,event,accord%1:07:00::,sympathetic compatibility
furnish a justifying analysis or explanation,account%2:32:00::,result,account%1:10:04::,a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
to give an account or representation of in words,account%2:32:02::,result,account%1:10:04::,a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
keep an account of,account%2:40:00::,result,account%1:10:02::,an itemized statement of money owed for goods shipped or services rendered
grant credentials to,accredit%2:41:00::,event,accreditation%1:04:00::,the act of granting credit or recognition (especially with respect to an educational institution that maintains suitable standards)
grow or become attached by accretion,accrete%2:30:01::,event,accretion%1:22:00::,an increase by natural growth or addition
grow or become attached by accretion,accrete%2:30:01::,event,accretion%1:22:02::,(biology) growth by addition as by the adhesion of parts or particles
grow by addition,accrue%2:30:00::,event,accrual%1:04:00::,the act of accumulating
grow by addition,accrue%2:30:00::,event,accruement%1:04:00::,the act of accumulating
come into the possession of,accrue%2:40:10::,event,accrual%1:04:00::,the act of accumulating
assimilate culturally,acculturate%2:30:00::,event,acculturation%1:04:00::,the adoption of the behavior patterns of the surrounding culture
increase in amount by collecting or gathering,accumulate%2:30:00::,event,accumulation%1:04:00::,the act of accumulating
get or gather together,accumulate%2:40:00::,event,accumulation%1:04:00::,the act of accumulating
get or gather together,accumulate%2:40:00::,result,accumulation%1:14:00::,several things grouped together or considered as a whole
bring an accusation against; level a charge against,accuse%2:32:00::,event,accusal%1:10:00::,a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
bring an accusation against; level a charge against,accuse%2:32:00::,event,accusation%1:10:00::,a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
bring an accusation against; level a charge against,accuse%2:32:00::,agent,accuser%1:18:00::,someone who imputes guilt or blame
"blame for, make a claim of wrongdoing or misbehavior against",accuse%2:32:01::,event,accusal%1:10:00::,a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
"blame for, make a claim of wrongdoing or misbehavior against",accuse%2:32:01::,event,accusation%1:10:01::,an assertion that someone is guilty of a fault or offence
"blame for, make a claim of wrongdoing or misbehavior against",accuse%2:32:01::,agent,accuser%1:18:00::,someone who imputes guilt or blame
serve an ace against (someone),ace%2:33:01::,event,ace%1:04:00::,a serve that the receiver is unable to reach
succeed at easily,ace%2:41:00::,agent,ace%1:18:00::,someone who is dazzlingly skilled in any field
receive substitution of an acetyl group,acetylate%2:30:00::,event,acetylation%1:22:00::,the process of introducing an acetyl group into a compound
introduce an acetyl group into (a chemical compound),acetylate%2:30:01::,event,acetylation%1:22:00::,the process of introducing an acetyl group into a compound
be the source of pain,ache%2:39:00::,result,ache%1:26:00::,a dull persistent (usually moderately intense) pain
feel physical pain,ache%2:39:01::,event,ache%1:26:00::,a dull persistent (usually moderately intense) pain
to gain with effort,achieve%2:41:00::,event,achievement%1:04:00::,the action of accomplishing something
to gain with effort,achieve%2:41:00::,agent,achiever%1:18:00::,a person with a record of successes
turn acidic,acidify%2:30:00::,by means of,acid%1:27:00::,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
turn acidic,acidify%2:30:00::,event,acidification%1:22:00::,the process of becoming acid or being converted into an acid
make sour or more sour,acidify%2:39:00::,by means of,acid%1:27:00::,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
accept (someone) to be what is claimed or accept his power and authority,acknowledge%2:31:09::,event,acknowledgment%1:10:00::,a statement acknowledging something or someone
accept (someone) to be what is claimed or accept his power and authority,acknowledge%2:31:09::,state,acknowledgment%1:26:00::,the state or quality of being recognized or acknowledged
declare to be true or admit the existence or reality or truth of,acknowledge%2:32:00::,state,acknowledgment%1:26:00::,the state or quality of being recognized or acknowledged
"express obligation, thanks, or gratitude for",acknowledge%2:32:01::,event,acknowledgment%1:10:00::,a statement acknowledging something or someone
"express recognition of the presence or existence of, or acquaintance with",acknowledge%2:32:07::,event,acknowledgment%1:10:00::,a statement acknowledging something or someone
"express recognition of the presence or existence of, or acquaintance with",acknowledge%2:32:07::,result,acknowledgment%1:10:01::,a short note recognizing a source of information or of a quoted passage
cause to come to know personally,acquaint%2:32:00::,result,acquaintance%1:09:00::,personal knowledge or information about someone or something
to agree or express agreement,acquiesce%2:32:00::,event,acquiescence%1:10:00::,agreement with a statement or proposal to do something
to agree or express agreement,acquiesce%2:32:00::,event,acquiescence%1:26:00::,acceptance without protest
gain knowledge or skills,acquire%2:31:00::,undergoer,acquisition%1:09:00::,an ability that has been acquired by training
gain knowledge or skills,acquire%2:31:00::,event,acquisition%1:09:01::,the cognitive process of acquiring skill or knowledge
come into the possession of something concrete or abstract,acquire%2:40:00::,by means of,acquirer%1:14:00::,a corporation gaining financial control over another corporation or financial institution through a payment in cash or an exchange of stock
come into the possession of something concrete or abstract,acquire%2:40:00::,by means of,acquirer%1:14:01::,the financial institution that dispenses cash in automated teller machines and collects a fee from the bank that issued the credit card
come into the possession of something concrete or abstract,acquire%2:40:00::,by means of,acquirer%1:14:02::,a credit card processing bank; merchants receive credit for credit card receipts less a processing fee
come into the possession of something concrete or abstract,acquire%2:40:00::,agent,acquirer%1:18:00::,a person who acquires something (usually permanently)
come into the possession of something concrete or abstract,acquire%2:40:00::,event,acquisition%1:04:00::,the act of contracting or assuming or acquiring possession of something
come into the possession of something concrete or abstract,acquire%2:40:00::,event,acquisition%1:09:01::,the cognitive process of acquiring skill or knowledge
pronounce not guilty of criminal charges,acquit%2:32:00::,result,acquittal%1:04:00::,a judgment of not guilty
pretend to have certain qualities or state of mind,act%2:29:01::,event,act%1:10:03::,a manifestation of insincerity
discharge one's duties,act%2:33:00::,agent,actor%1:18:01::,a person who acts and gets things done
play a role or part,act%2:36:00::,event,act%1:10:02::,a short performance that is part of a longer program
play a role or part,act%2:36:00::,agent,actor%1:18:00::,a theatrical performer
perform on a stage or theater,act%2:36:03::,event,act%1:10:02::,a short performance that is part of a longer program
perform on a stage or theater,act%2:36:03::,agent,actor%1:18:00::,a theatrical performer
behave unnaturally or affectedly,act%2:36:04::,event,act%1:10:03::,a manifestation of insincerity
"perform an action, or work out or perform (an action)",act%2:41:00::,event,act%1:03:00::,something that people do or cause to happen
"perform an action, or work out or perform (an action)",act%2:41:00::,event,action%1:04:02::,something done (usually as opposed to something said)
"perform an action, or work out or perform (an action)",act%2:41:00::,state,action%1:26:00::,the state of being active
be suitable for theatrical performance,act%2:42:00::,event,act%1:10:02::,a short performance that is part of a longer program
institute legal proceedings against; file a suit against,action%2:41:00::,event,action%1:04:01::,a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong
make active or more active,activate%2:30:00::,event,activation%1:04:01::,making active and effective (as a bomb)
make active or more active,activate%2:30:00::,agent,activator%1:27:00::,(biology) any agency bringing about activation; a molecule that increases the activity of an enzyme or a protein that increases the production of a gene product in DNA transcription
make (substances) radioactive,activate%2:30:01::,by means of,activation%1:22:00::,stimulation of activity in an organism or chemical
aerate (sewage) so as to favor the growth of organisms that decompose organic matter,activate%2:30:02::,by means of,activation%1:22:00::,stimulation of activity in an organism or chemical
make more adsorptive,activate%2:30:03::,by means of,activation%1:22:00::,stimulation of activity in an organism or chemical
put in motion or move to act,activate%2:36:00::,by means of,activation%1:22:00::,stimulation of activity in an organism or chemical
make real or concrete; give reality or substance to,actualise%2:36:00::,event,actualisation%1:04:00::,making real or giving the appearance of reality
make real or concrete; give reality or substance to,actualize%2:36:00::,event,actualization%1:04:00::,making real or giving the appearance of reality
put in motion or move to act,actuate%2:36:00::,event,actuation%1:04:00::,the act of propelling
put in motion or move to act,actuate%2:36:00::,agent,actuator%1:06:00::,a mechanism that puts something into automatic action
perform without preparation,ad-lib%2:36:00::,undergoer,ad-lib%1:10:00::,remark made spontaneously without prior preparation
"make fit for, or change to suit a new purpose",adapt%2:30:01::,agent,adapter%1:06:00::,device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible
"make fit for, or change to suit a new purpose",adapt%2:30:01::,agent,adaptor%1:06:00::,device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible
adapt or conform oneself to new or different conditions,adapt%2:30:02::,event,adaptation%1:22:00::,the process of adapting to something (such as environmental conditions)
"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",add%2:30:00::,by means of,addition%1:04:02::,the act of adding one thing to another
make an addition by combining numbers,add%2:31:00::,agent,adder%1:06:00::,a machine that adds numbers
make an addition by combining numbers,add%2:31:00::,by means of,addition%1:04:01::,the arithmetic operation of summing; calculating the sum of two or more numbers
determine the sum of,add%2:32:00::,agent,adder%1:06:00::,a machine that adds numbers
determine the sum of,add%2:32:00::,by means of,addition%1:04:01::,the arithmetic operation of summing; calculating the sum of two or more numbers
bestow a quality on,add%2:40:00::,by means of,addition%1:06:00::,a component that is added to something to improve it
"to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)",addict%2:34:00::,agent,addict%1:18:00::,someone who is physiologically dependent on a substance or activity
"to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)",addict%2:34:00::,agent,addict%1:18:01::,someone who is so ardently devoted to something that it resembles an addiction
"to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)",addict%2:34:00::,by means of,addiction%1:04:00::,(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master
"to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)",addict%2:34:00::,event,addiction%1:26:00::,being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
speak to,address%2:32:00::,undergoer,addressee%1:18:00::,one to whom something is addressed
speak to someone,address%2:32:01::,undergoer,addressee%1:18:00::,one to whom something is addressed
give a speech to,address%2:32:02::,event,address%1:10:00::,the act of delivering a formal spoken communication to an audience
give a speech to,address%2:32:02::,undergoer,addressee%1:18:00::,one to whom something is addressed
put an address on (an envelope),address%2:32:03::,undergoer,address%1:10:02::,written directions for finding some location; written on letters or packages that are to be delivered to that location
put an address on (an envelope),address%2:32:03::,location,address%1:15:00::,the place where a person or organization can be found or communicated with
put an address on (an envelope),address%2:32:03::,undergoer,addressee%1:18:00::,one to whom something is addressed
direct a question at someone,address%2:33:00::,event,address%1:10:03::,the manner of speaking to another individual
direct a question at someone,address%2:33:00::,undergoer,addressee%1:18:00::,one to whom something is addressed
access or locate by address,address%2:40:00::,by means of,address%1:10:04::,(computer science) the code that identifies where a piece of information is stored
draw a limb towards the body,adduct%2:35:00::,event,adduction%1:04:00::,(physiology) moving of a body part toward the central axis of the body
draw a limb towards the body,adduct%2:35:00::,agent,adductor%1:08:00::,a muscle that draws a body part toward the median line
stick to firmly,adhere%2:35:00::,property,adhesion%1:07:00::,the property of sticking together (as of glue and wood) or the joining of surfaces of different composition
come or be in close contact with; stick or hold together and resist separation,adhere%2:35:01::,property,adhesion%1:07:00::,the property of sticking together (as of glue and wood) or the joining of surfaces of different composition
be a devoted follower or supporter,adhere%2:42:02::,result,adhesion%1:04:00::,faithful support for a cause or political party or religion
be in direct physical contact with; make contact,adjoin%2:35:03::,event,adjunction%1:04:00::,an act of joining or adjoining things
close at the end of a session,adjourn%2:30:00::,event,adjournment%1:04:00::,the termination of a meeting
break from a meeting or gathering,adjourn%2:41:00::,event,adjournment%1:04:01::,the act of postponing to another time or place
put on trial or hear a case and sit as the judge at the trial of,adjudicate%2:41:03::,agent,adjudicator%1:18:00::,a person who studies and settles conflicts and disputes
command solemnly,adjure%2:32:00::,event,adjuration%1:10:00::,a solemn and earnest appeal to someone to do something
ask for or request earnestly,adjure%2:32:01::,event,adjuration%1:10:00::,a solemn and earnest appeal to someone to do something
alter or regulate so as to achieve accuracy or conform to a standard,adjust%2:30:00::,event,adjustment%1:04:01::,the act of adjusting something to match a standard
adapt or conform oneself to new or different conditions,adjust%2:30:01::,event,adjustment%1:11:00::,making or becoming suitable; adjusting to circumstances
adapt or conform oneself to new or different conditions,adjust%2:30:01::,event,adjustment%1:22:00::,the process of adapting to something (such as environmental conditions)
make correspondent or conformable,adjust%2:30:03::,event,adjustment%1:04:00::,the act of making something different (as e.g. the size of a garment)
decide how much is to be paid on an insurance claim,adjust%2:31:00::,result,adjustment%1:21:00::,an amount added or deducted on the basis of qualifying circumstances
decide how much is to be paid on an insurance claim,adjust%2:31:00::,agent,adjustor%1:18:00::,one who investigates insurance claims or claims for damages and recommends an effective settlement
give or apply (medications),administer%2:29:00::,event,administration%1:04:01::,the act of administering medication
work in an administrative capacity; supervise or be in charge of,administer%2:41:00::,by means of,administration%1:04:00::,a method of tending to or managing the affairs of some group of people (especially the group's business affairs)
